title,date,pos,neg,neu,index
Fulton County judge who oversaw special grand jury in Trump probe says jurors are free to discuss final report,2023-02-24,0,1,0,56.0
"'It's a major blow': Dominion has uncovered 'smoking gun' evidence in case against Fox News, legal experts say",2023-02-24,0,1,0,57.0
Media outlets ask Georgia Supreme Court to release full grand jury report on Trump 2020 election probe,2023-02-24,0,0,1,58.0
Exclusive: How a box with classified documents ended up in Trump's office months after FBI searched Mar-a-Lago,2023-02-24,0,0,1,59.0
Fact check: Pence falsely claims opponents admitted there weren't Chinese spy balloons over the US while he was VP,2023-02-24,0,1,0,60.0
"Celebrities may have helped shape anti-vaccine opinions during Covid-19 pandemic, study finds",2023-02-24,0,1,0,61.0
Conservative former judge J. Michael Luttig blasts Mike Pence plan to defy subpoena,2023-02-24,0,0,1,62.0
Judge tosses out disciplinary action against Sidney Powell for work on Trump election reversal bid,2023-02-24,0,1,0,63.0
McCarthy rewards the pro-Trump radicals who put him in power,2023-02-24,0,1,0,64.0
Appeals court questions access that prosecutors can have to a GOP lawmaker's phone seized in 2020 election investigation,2023-02-23,0,0,1,65.0
Biden nominates former MasterCard exec Ajay Banga to lead World Bank,2023-02-23,0,0,1,66.0
McCarthy defends release of January 6 footage to Tucker Carlson: 'I promised',2023-02-23,0,1,0,67.0
"Trump and FBI director can be deposed in lawsuit from ex-FBI agent Peter Strzok, judge rules",2023-02-23,0,1,0,68.0
Opinion: Georgia grand juror's tacky media tour won't trash the case,2023-02-23,0,1,0,69.0
Federal prosecutors seek to compel Pence to testify in special counsel probe,2023-02-23,0,1,0,70.0
What to know about the lawsuit aiming to ban medication abortion drug mifepristone,2023-02-11,0,0,1,71.0
Fury over Biden's new asylum policy grows after he thanks Poland for welcoming Ukrainian refugees,2023-02-23,0,1,0,72.0
"5 things to know for Feb. 23: Storms, Toxic train, Shooting, Spy balloon, ChatGPT",2023-02-23,0,0,1,73.0
First on CNN: Former Trump national security advisers among witnesses testifying at House hearing on China,2023-02-23,0,0,1,74.0
Companies can no longer silence laid-off employees in exchange for severance,2023-02-22,0,0,1,75.0
Capitol rioter who tweeted threat to Rep. Ocasio-Cortez sentenced to 38 months in prison,2023-02-22,0,1,0,76.0
"CNN town hall on toxic train disaster in East Palestine, Ohio",2023-02-21,0,0,1,77.0
"Exclusive: North Korea a 'clear and present danger,' says South Korean Foreign Minister",2023-02-22,0,1,0,78.0
"Ohio's toxic spill is unleashing poisonous, partisan politics",2023-02-23,0,1,0,79.0
House January 6 investigator says it's 'likely' 2020 election subversion probes will produce indictments,2023-02-23,0,0,1,80.0
Proud Boy testifies in sedition trial about far-right group being the 'tip of the spear' on January 6,2023-02-23,0,1,0,81.0
Opinion: Trump's visit to Ohio derailment scene poses risk for Biden,2023-02-23,0,0,1,82.0
Trump visits Ohio train derailment site in effort to highlight Biden's absence,2023-02-22,0,0,1,83.0
East Palestine derailment spurs rare signs of bipartisan agreement on rail safety. Will Washington act?,2023-02-22,0,1,0,84.0
One of the 'random people' chosen to investigate Trump goes public,2023-02-22,0,1,0,85.0
"Steve Bannon's ex-lawyers sue him over nearly $500,000 in unpaid legal bills",2023-02-22,0,1,0,86.0
GOP 2024 hopefuls divided over US role in Ukraine war,2023-02-21,0,0,1,87.0
Ben Platt speaks out against antisemitic protests of 'Parade' on Broadway,2023-02-22,0,1,0,88.0
Lawyers for Proud Boys member take steps to subpoena former President Trump in seditious conspiracy trial,2023-02-22,0,0,1,89.0
Foreperson on Georgia grand jury investigating Trump and 2020 election: 'I don't think you will be shocked' by indictments,2023-02-21,0,1,0,90.0
Transportation Secretary Pete Buttigieg to visit Ohio town affected by toxic train derailment on Thursday,2023-02-22,0,0,1,91.0
Biden's momentous 72 hours in Europe steels the West for the next stage of Russia's war in Ukraine,2023-02-22,0,1,0,92.0
DeSantis gets 7-figure checks from top GOP donors as he soft launches presidential campaign,2023-02-22,0,1,0,93.0
"5 things to know for Feb. 22: Migrants, Storm, Presidential race, Cartels, Avalanche",2023-02-22,0,1,0,94.0
"Buttigieg says he'll visit East Palestine 'when the time is right,' lays out new rail safety efforts",2023-02-21,0,0,1,95.0
Vivek Ramaswamy announces GOP bid for president in 2024,2023-02-22,0,1,0,96.0
"McCarthy gives Tucker Carlson access to January 6 Capitol security footage, sources say",2023-02-20,0,1,0,97.0
Trump leadership PAC spent more than $16 million on legal services in 2022,2023-02-22,0,0,1,98.0
Opinion: What it means to stand behind Vladimir Putin,2023-02-21,0,0,1,99.0
