title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Four things to watch out for in the Middle East in 2023,2023-01-02,38.0,0.6515823291348559,0.17389685308028544,0.1745208201796881,-0.604527610429182,0,0,0,0
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,39.0,0.32738395637887363,0.3809678397853585,0.29164820030222044,-0.0851127693176126,0,0,0,0
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,40.0,0.09843583027010455,0.5745298489928246,0.3270342989879496,0.3604230137757102,0,0,0,0
"December 22, 2022 Russia-Ukraine news",2022-12-21,41.0,0.10387924209215771,0.5199957323822243,0.3761250186953267,0.44622918498416714,0,0,0,0
Netanyahu informs Israeli president he has formed government,2022-12-21,42.0,0.1702649977058172,0.4621123671531677,0.36762266270816324,0.4085682316294575,0,0,0,0
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,43.0,0.0422514279683431,0.5691888978083929,0.3885596878826618,0.5121091365162729,0,0,0,0
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,44.0,0.19929740273139693,0.5772326158528979,0.22346999058076603,0.07094885476681764,0,0,0,0
Israeli President invites Netanyahu to form government,2022-11-13,45.0,0.36471270661180216,0.3735572289571994,0.26173005234967506,-0.07679133060528028,0,0,0,0
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,46.0,0.32634444192184936,0.4629533927155925,0.21070217437643027,-0.0751829696026773,0,0,0,0
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,47.0,0.2707078796811402,0.49555718153715134,0.23373492310444513,-0.13237159918318345,0,0,0,0
Opinion: What Europe makes of America's election result,2022-11-09,48.0,0.1514735072851181,0.2301795482635498,0.6183469295501709,0.9994010644617802,0,0,0,0
How a rule change helped Netanyahu win Israel's elections,2022-11-07,49.0,0.4522774544629184,0.2691208598288623,0.27860170958394354,-0.23585932288117553,0,0,0,0
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,50.0,0.3944092141996537,0.23871867403920208,0.36687211161479355,0.021076254650605232,0,0,0,0
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,51.0,0.448273644130677,0.2866794398054481,0.26504691906739025,-0.1033391676529837,0,0,0,0
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,52.0,0.3042142366092386,0.49797782275293556,0.19780793400215252,-0.2069780706889868,0,0,0,0
Netanyahu is back. Here's what that means for Israel,2022-11-02,53.0,0.3782260642302307,0.19274399380876936,0.4290299489247528,0.1294637176450447,0,0,0,0
"Netanyahu on course to lead Israel's most right-wing government ever, partial Israel results suggest",2022-11-02,54.0,0.45929411947727206,0.19676576592028142,0.3439401139738038,-0.21220586601744085,0,0,0,0
"In Brazil and Israel, leaders show Trump there can be political next acts",2022-11-02,55.0,0.4247155881797274,0.17481097904965281,0.4004734268334384,0.09535388372873577,0,0,0,0
Netanyahu on brink of comeback as Israeli exit polls point to narrow majority for ex-PM,2022-11-01,56.0,0.4847475504502654,0.2554757342984279,0.2597766995585213,-0.17808827732039206,0,0,0,0
Netanyahu eyes comeback as Israel votes in fifth election in four years,2022-11-01,57.0,0.37719214769701165,0.35553046150339973,0.26727739395573735,-0.12472516764138206,0,0,0,0
Netanyahu eyes extremist political support in comeback attempt,2022-10-28,58.0,0.3486962321567936,0.3997147451068654,0.251589023702157,-0.07279185628871675,0,0,0,0
Gulf states use new oil riches to gain regional influence,2022-10-31,59.0,0.6007187946566513,0.2917360462514417,0.1075451668751027,-0.5422416078955071,0,0,0,0
Five elections in four years: What's the deal with Israeli politics?,2022-10-30,60.0,0.514196058591971,0.214747258891853,0.2710566772148013,-0.20278137234987884,0,0,0,0
The world leaders who refuse to leave the stage,2022-10-27,61.0,0.4673460363410413,0.06867809593677521,0.46397583093494177,0.0,0,0,0,0
5 ways the Israel-Lebanon maritime deal matters,2022-10-12,62.0,0.14879317618906499,0.42708252668380736,0.424124301224947,0.45006330599108973,0,0,0,0
Opinion: Jared Kushner settles a few scores,2022-08-29,63.0,0.6785309910774231,0.22853383421897888,0.09293518215417862,-0.9999292600905466,0,0,0,0
Why Hamas stayed out of the latest Gaza conflict,2022-08-08,64.0,0.19643591507337987,0.5611472725868225,0.24241682258434594,0.12280606599506222,0,0,0,0
Israel's Prime Minister makes rare allusion to country's nuclear weapons arsenal,2022-08-02,65.0,0.6518638730049133,0.33424505591392517,0.013891099020838737,-0.9990337876235433,0,0,0,0
Why Joe Biden's fist bump with MBS was such a disaster,2022-07-17,66.0,0.1823570430278778,0.6752375364303589,0.1424054652452469,-0.11778414654711564,0,0,0,0
Opinion: Biden's risky fist bump with MBS,2022-07-17,67.0,0.08985836803913116,0.7008265852928162,0.20931503176689148,0.32828260691141614,0,0,0,0
Biden tries to ease worries over US commitment to the Middle East in meetings with key leaders,2022-07-16,68.0,0.7696195244789124,0.22067907452583313,0.009701388888061047,-0.9999979156019558,0,0,0,0
Saudi Arabia opens airspace to Israeli flights,2022-07-15,69.0,0.7696195244789124,0.22067907452583313,0.009701388888061047,-0.9999979156019558,0,0,0,0
A 'Middle East NATO'? Why Iran is closely watching Biden's regional trip,2022-07-15,70.0,0.038140415136391916,0.78867506980896,0.1731845075264573,0.3575107184940234,0,0,0,0
"Biden says diplomacy is still the best way to keep Iran from getting a nuclear weapon, despite Israeli skepticism",2022-07-14,71.0,0.49247735971584916,0.49674161802977324,0.010781005956232548,-0.48960734857289623,0,0,0,0
Fist bumps instead of handshakes: Biden looks to 'minimize contact' in Israel and Saudi Arabia,2022-07-13,72.0,0.05296976864337921,0.7212252020835876,0.22580504417419434,0.445668730205696,0,0,0,0
What not to expect from Biden's Jerusalem trip,2022-07-11,73.0,0.33684050794690845,0.48248902559280393,0.18067049700766802,-0.2860576626477535,0,0,0,0
Opinion: Biden is heading to the Middle East for one simple reason,2022-07-10,74.0,0.35834950432181356,0.3510442368686199,0.290606252849102,0.05401141898802771,0,0,0,0
"July 9, 2022 Shinzo Abe assassination news",2022-07-08,75.0,0.011709046550095081,0.17973507940769196,0.8085559010505676,0.9999999602501989,0,0,0,0
Naftali Bennett Fast Facts,2021-06-30,76.0,0.2825485924258828,0.5711644515395164,0.14628694392740726,-0.47928048634788417,0,0,0,0
"July 8, 2022 Shinzo Abe shot dead in Nara, Japan",2022-07-08,77.0,0.011709046550095081,0.17973507940769196,0.8085559010505676,0.9999999602501989,0,0,0,0
Israeli and Palestinian leaders speak by phone for the first time in years,2022-07-08,78.0,0.9625376462936401,0.03240922838449478,0.005053029861301184,-1.0,0,0,0,0
A leader for all Israelis? Yair Lapid takes over as caretaker prime minister,2022-07-01,79.0,0.5934552824632688,0.27485580115833064,0.1316889100284739,-0.5103914061691822,0,0,0,0
"Israeli parliament votes to dissolve, triggering fifth election in four years",2022-06-30,80.0,0.3785038562491536,0.2441185995315512,0.37737756051744026,0.07308666030932036,0,0,0,0
"5 things to know for June 30: SCOTUS, School shootings, January 6, Ukraine, Israel",2022-06-30,81.0,0.3728235363960266,0.20360727608203888,0.42356908321380615,0.4609090760145368,0,0,0,0
Is there any way out of Israel's neverending election cycle?,2022-06-22,82.0,0.31954451748991713,0.3660783568835434,0.3143771307214218,0.08559289066945211,0,0,0,0
Israel set for possible fifth election in four years as PM Bennett moves to dissolve parliament,2022-06-20,83.0,0.4190956810489297,0.26109673207004863,0.3198075645292799,-0.05625350707680175,0,0,0,0
"5 things to know for June 21: Gas prices, Ukraine, January 6, Israel, Covid-19",2022-06-21,84.0,0.7411672472953796,0.2279137521982193,0.030918920412659645,-0.9999922828773666,0,0,0,0
How a failed vote on Jewish settlers shows the Israeli government is teetering,2022-06-10,85.0,0.6693555232794846,0.21332163040471427,0.11732285108198137,-0.5877330046629259,0,0,0,0
Israeli government's fragility laid bare as violence spikes,2022-04-20,86.0,0.5790324583649635,0.12786121293902397,0.2931063361465931,-0.0013429875535456715,0,0,0,0
Israel's coalition government loses its majority as right-wing lawmaker quits,2022-04-06,87.0,0.058951872090498604,0.5407327810923258,0.40031539897123974,0.7390075128139028,0,0,0,0
Israel and the West Bank are on edge again. Here are five things you need to know,2022-04-01,88.0,0.8192304968833923,0.1548296958208084,0.025939859449863434,-0.9999999974859916,0,0,0,0
Israel's police under fire amid further allegations of 'Pegasus' cybersurveillance use against public figures,2022-02-07,89.0,0.2659088966320269,0.7105802230071276,0.023510907441959716,-0.2630554003370489,0,0,0,0
Israeli officials deny report that police are using cellphone spying software on citizens without court approval,2022-01-20,90.0,0.8867512345314026,0.10146943479776382,0.011779393069446087,-0.9999999999999979,0,0,0,0
"Netanyahu negotiating possible corruption case plea deal to safeguard political career, sources say",2022-01-18,91.0,0.7171806046473128,0.17480669042006844,0.10801271038196449,-0.6828644920463299,0,0,0,0
"Israel announces plan to double Golan Heights population, drawing condemnation from Syria",2021-12-28,92.0,0.035846855491399765,0.3085724711418152,0.6555806398391724,0.9993514270751203,0,0,0,0
Trump uses anti-Semitic tropes to again criticize Jewish Americans,2021-12-17,93.0,0.6484423391520977,0.3228707548696548,0.028686930309049785,-0.798437360292103,0,0,0,0
Trump accuses Netanyahu of disloyalty for congratulating Biden after 2020 win: 'F**k him',2021-12-10,94.0,0.2560941716656089,0.5077259617724589,0.23617986469928706,0.09480939062725877,0,0,0,0
A single sentence that perfectly captures the utter madness of the Trump era,2021-12-10,95.0,0.02924363873898983,0.9552094340324402,0.01554698497056961,-0.028669943430861978,0,0,0,0
Don't count on an end to the Joe Biden-Naftali Bennett honeymoon -- yet,2021-11-08,96.0,0.7850851193070412,0.13623312558047473,0.07868178270291537,-0.7825220549949152,0,0,0,0
"Israel doubles down against US, saying there is no room in Jerusalem for an American Consulate for Palestinians",2021-11-07,97.0,0.9826505780220032,0.011820990592241287,0.005528448149561882,-1.0,0,0,0,0
Trump's inner circle takes a trip down memory lane in Jerusalem,2021-10-12,98.0,0.07744298849932173,0.5796350670809095,0.34292195398699155,0.49189078235839306,0,0,0,0
"'Isolated' but defiant, Brazil's Bolsonaro defends handling of Covid and climate at UN",2021-09-21,99.0,0.5438445210456848,0.4331202208995819,0.02303522825241089,-0.9838333508549223,0,0,0,0
